consideration_offered,shares_acquired,shares_at_announcement,acquiror_code,target_code,target_status,acquisition_count,bidder_count,month,cross_border,relatedness,economic_sector_ac,business_sector_ac,economic_sector_target,business_sector_target,car_1,car_3,car_5,car_10
Other,full,no,55101010,55301010,others,5,1,1,cross_border,economic_sector,Financials,Banking & Investment Services,Financials,Insurance,-0.0029471379202218,-0.0005991292017876,-0.0196385099743106,-0.0076402516650999
Other,full,no,55101010,55301010,others,6,1,1,cross_border,economic_sector,Financials,Banking & Investment Services,Financials,Insurance,-0.0029471379202218,-0.0005991292017876,-0.0196385099743106,-0.0076402516650999
Other,full,no,52102050,53205020,others,22,1,1,cross_border,not_related,Industrials,Industrial Goods,Consumer Cyclicals,Cyclical Consumer Products,0.0061690101296888,0.0001230597082053,-0.0205993296211015,-0.0011499808834344
Other,full,no,54201010,56201040,others,34,1,1,cross_border,not_related,Consumer Non-Cyclicals,Personal & Household Products & Services,Healthcare,Pharmaceuticals & Medical Research,0.007969090329444,0.0292872123415577,0.0098959002103261,0.0281756410806232
Other,full,no,52102050,53205020,others,23,1,1,cross_border,not_related,Industrials,Industrial Goods,Consumer Cyclicals,Cyclical Consumer Products,0.0061690101296888,0.0001230597082053,-0.0205993296211015,-0.0011499808834344
Cash,full,no,54301020,52405030,public,23,1,1,cross_border,not_related,Consumer Non-Cyclicals,Food & Drug Retailing,Industrials,Transportation,-0.0093619289839946,0.0013080420118526,0.0180408936558373,0.0564284266231462
Cash,full,no,52102010,53203020,others,5,1,1,cross_border,not_related,Industrials,Industrial Goods,Consumer Cyclicals,Cyclical Consumer Products,0.010072532101782,0.0220799777553249,0.0031469291908297,-0.0314758612817607
Cash,full,no,54401010,51101030,others,58,1,1,cross_border,not_related,Consumer Non-Cyclicals,Consumer Goods Conglomerates,Basic Materials,Chemicals,0.0021237788545999,-0.0129590982805326,-0.0256201256300947,-0.015733059911697
Other,full,no,55301010,55301030,others,78,1,1,cross_border,industry_group,Financials,Insurance,Financials,Insurance,-0.004892338767382,-0.0069256487759956,-0.0324035663324504,-0.0402810214443025
Cash,full,no,52203070,52203040,others,5,1,1,cross_border,industry_group,Industrials,Industrial & Commercial Services,Industrials,Industrial & Commercial Services,-0.0211416397097679,-0.0089988289381305,-0.0159438503970705,-0.0577590540059195
Other,full,no,60102020,60101010,others,16,1,1,cross_border,business_sector,Real Estate,Real Estate,Real Estate,Real Estate,0.0088937595150857,0.0046020428167034,0.0048297635969639,0.0021175028079475
Other,full,no,57201020,57201020,others,4,1,1,cross_border,industry,Technology,Software & IT Services,Technology,Software & IT Services,0.1185314282143515,0.1460696818781883,0.0570658913761311,0.0014314607177114
Other,full,no,53203010,53203010,others,2,1,1,cross_border,industry,Consumer Cyclicals,Cyclical Consumer Products,Consumer Cyclicals,Cyclical Consumer Products,-0.025119023670821,-0.0077721253492183,-0.0205414125262328,0.0004731512964377
Other,full,no,56101020,56201040,others,9,1,1,cross_border,economic_sector,Healthcare,Healthcare Services & Equipment,Healthcare,Pharmaceuticals & Medical Research,0.0097988241180352,-0.0047977461232535,0.0028400051953451,0.03172177091145
Other,full,no,57201010,52203040,others,28,1,1,cross_border,not_related,Technology,Software & IT Services,Industrials,Industrial & Commercial Services,0.0070842659455421,0.0122454909132589,-0.0050920223005512,0.014465168500904
Cash,full,no,52102010,56101020,others,6,1,1,cross_border,not_related,Industrials,Industrial Goods,Healthcare,Healthcare Services & Equipment,0.0158548848136379,0.0369713132589279,0.0535261304639532,0.0457341080320963
Other,full,no,54401010,51101030,others,59,1,1,cross_border,not_related,Consumer Non-Cyclicals,Consumer Goods Conglomerates,Basic Materials,Chemicals,0.0029887562664808,0.0007909807717625,-0.0100419772589747,-0.0333047282676104
Cash,full,no,54201010,56201040,others,49,1,1,cross_border,not_related,Consumer Non-Cyclicals,Personal & Household Products & Services,Healthcare,Pharmaceuticals & Medical Research,0.0011312686241372,-0.0109274862026237,0.0063657917821596,0.0231129819990804
Other,full,no,55101010,55101010,public,18,1,1,cross_border,industry,Financials,Banking & Investment Services,Financials,Banking & Investment Services,-0.0112488669618986,0.0044535109881448,0.0126964279022807,0.0448068359820681
Other,full,no,57102010,57401020,others,120,1,1,cross_border,economic_sector,Technology,Technology Equipment,Technology,Telecommunications Services,0.0013195402153675,0.0019660816333689,0.0083404820791849,0.0194335349153336
Other,full,no,57201020,57201020,public,37,1,1,cross_border,industry,Technology,Software & IT Services,Technology,Software & IT Services,0.0340518262570221,0.0458919365183341,0.0229888422762241,0.0767653200150383
Cash,not_full,no,51201020,51201020,public,8,1,1,national,industry,Basic Materials,Mineral Resources,Basic Materials,Mineral Resources,0.0130613908603777,0.05695844100647,0.0559167285588252,0.0169175576572709
Other,full,no,55301010,55301010,others,79,1,1,cross_border,industry,Financials,Insurance,Financials,Insurance,0.0075539343593122,0.0228009645126596,0.0205991738762544,0.04118391865806
Other,full,no,55301010,55301010,others,80,1,1,cross_border,industry,Financials,Insurance,Financials,Insurance,0.0075539343593122,0.0228009645126596,0.0205991738762544,0.04118391865806
Cash,full,no,53301020,53301040,others,5,1,1,cross_border,industry_group,Consumer Cyclicals,Cyclical Consumer Services,Consumer Cyclicals,Cyclical Consumer Services,-0.0649360204110806,0.1357556375249357,0.1129263632035397,0.2995572076166476
Other,full,no,55301010,55301020,others,105,1,1,cross_border,industry_group,Financials,Insurance,Financials,Insurance,0.0015935919851171,-0.0054233069566428,-0.0136022773912425,-0.0201394252987565
Cash,full,no,55101010,55301010,others,8,1,1,cross_border,economic_sector,Financials,Banking & Investment Services,Financials,Insurance,-0.0014243219762253,0.0026496712722815,-0.0015326439889884,-0.0542062005462382
Other,full,no,55101010,55101010,public,40,1,1,cross_border,industry,Financials,Banking & Investment Services,Financials,Banking & Investment Services,0.0604756916892131,-0.0100421981513455,0.002115717209333,0.0405442001477811
Other,full,no,52201020,52201020,others,24,1,1,cross_border,industry,Industrials,Industrial & Commercial Services,Industrials,Industrial & Commercial Services,0.0054655733358476,0.007913711553331,0.0045521334369728,-0.0109354128265068
Cash,full,no,56101020,56101020,others,8,1,1,national,industry,Healthcare,Healthcare Services & Equipment,Healthcare,Healthcare Services & Equipment,0.0246509144530771,0.0610389557197516,0.0478438525687201,0.0318173211707768
Other,not_full,no,51101030,51101030,others,0,1,1,cross_border,industry,Basic Materials,Chemicals,Basic Materials,Chemicals,0.044307336396564,0.0310506271589565,0.0310506271589565,-0.0068866498098654
Other,full,no,55301010,55301010,others,106,1,1,cross_border,industry,Financials,Insurance,Financials,Insurance,-0.0004244135115021,-0.0007574399469364,-0.0189551335917104,-0.0605782384294345
Other,full,no,56102010,56102010,others,19,1,1,cross_border,industry,Healthcare,Healthcare Services & Equipment,Healthcare,Healthcare Services & Equipment,0.0207610646630259,0.0225244389527596,0.0037484922905622,0.0765148810118148
Cash,full,no,60102020,53403050,others,8,1,1,cross_border,not_related,Real Estate,Real Estate,Consumer Cyclicals,Retailers,0.0077663022924278,0.0047515671590794,0.0033511482273487,-0.0227881342936173
Cash,not_full,no,59102010,59102010,public,4,1,1,cross_border,industry,Utilities,Utilities,Utilities,Utilities,0.0398641518057643,0.0162490650346706,0.022493717326749,0.0323938118992247
Other,full,no,56101020,57102010,others,10,1,1,national,not_related,Healthcare,Healthcare Services & Equipment,Technology,Technology Equipment,-0.004419715398418,-0.0001902037456684,0.0125963563248736,-0.021132614952584
Cash,not_full,yes,52102010,57101010,public,17,1,1,national,not_related,Industrials,Industrial Goods,Technology,Technology Equipment,-0.0343534526019532,0.026693911646895,0.0381682073800755,0.008838813315676
Cash,full,no,53302020,53302020,others,16,1,1,national,industry,Consumer Cyclicals,Cyclical Consumer Services,Consumer Cyclicals,Cyclical Consumer Services,0.0348279868686484,0.0155111605837328,0.0192243863920802,-0.0146267242248842
Cash,full,no,50103030,59102010,others,17,1,1,cross_border,not_related,Energy,Energy - Fossil Fuels,Utilities,Utilities,-0.0020339266282105,-0.0030320890325711,0.0362150124786404,0.0304195206136475
Other,full,no,55101010,55101010,others,2,1,1,cross_border,industry,Financials,Banking & Investment Services,Financials,Banking & Investment Services,-0.0011329235421358,0.0205896877400274,0.0378601198015744,0.0404816641649323
Other,full,no,50103020,52201020,others,12,1,1,cross_border,not_related,Energy,Energy - Fossil Fuels,Industrials,Industrial & Commercial Services,0.026764390153269,0.0445777723991918,0.0332225971828544,0.0544816985451764
Other,full,no,50102020,50102020,public,0,1,1,cross_border,industry,Energy,Energy - Fossil Fuels,Energy,Energy - Fossil Fuels,-0.0937596951765432,-0.0822881961973898,-0.0822881961973898,-0.0617404687955809
Cash,full,no,52102010,52102010,others,9,1,1,cross_border,industry,Industrials,Industrial Goods,Industrials,Industrial Goods,-0.0367517861487085,0.0051296432834854,0.0051296432834854,0.0390951710032605
Other,full,no,50103030,50102030,others,0,1,1,cross_border,business_sector,Energy,Energy - Fossil Fuels,Energy,Energy - Fossil Fuels,0.0947875811437588,0.1084907415017543,0.1084907415017543,0.1611325523458321
Cash,not_full,yes,52102010,57101010,public,18,1,1,national,not_related,Industrials,Industrial Goods,Technology,Technology Equipment,0.0242730576377977,-0.0060711445443373,-0.0060711445443373,0.0715139483923941
Other,full,no,55101010,55102020,others,2,1,1,cross_border,business_sector,Financials,Banking & Investment Services,Financials,Banking & Investment Services,0.2034020847495127,0.2034020847495127,0.1800279691897358,0.1726037112093148
Other,full,no,54201010,54201020,public,50,1,1,cross_border,industry_group,Consumer Non-Cyclicals,Personal & Household Products & Services,Consumer Non-Cyclicals,Personal & Household Products & Services,-0.0464568314210179,-0.0510907076282398,-0.0743806260078339,-0.0711375247208048
Other,full,no,55101010,52203040,others,5,1,1,cross_border,not_related,Financials,Banking & Investment Services,Industrials,Industrial & Commercial Services,-0.0237189230089602,0.0097464660062631,-0.0026063853866219,0.0042717912807119
Cash,full,no,53302040,53302040,public,13,1,1,cross_border,industry,Consumer Cyclicals,Cyclical Consumer Services,Consumer Cyclicals,Cyclical Consumer Services,-0.0048317568015157,0.0057644200039985,-0.004404090512736,0.0206914788774046
Other,full,no,55301030,55301030,others,10,1,1,cross_border,industry,Financials,Insurance,Financials,Insurance,-0.017499960415765,-0.0362679375552676,-0.0285653307054605,-0.0405880991593339
Cash,full,no,54102020,54102020,others,12,1,1,cross_border,industry,Consumer Non-Cyclicals,Food & Beverages,Consumer Non-Cyclicals,Food & Beverages,0.0114479702715141,0.0130687525869006,0.0065202324462046,-0.0115994471954086
Other,full,no,56102010,56102010,others,11,1,1,cross_border,industry,Healthcare,Healthcare Services & Equipment,Healthcare,Healthcare Services & Equipment,0.0477947491229814,0.0509828829164302,0.0347325755754752,0.0069934243411166
Cash,full,no,50101010,50101010,others,5,1,1,cross_border,industry,Energy,Energy - Fossil Fuels,Energy,Energy - Fossil Fuels,0.0229926814328571,-0.017824035125628,0.0219952594320572,0.0196272417280553
Other,full,no,53403020,53204040,others,20,1,1,cross_border,economic_sector,Consumer Cyclicals,Retailers,Consumer Cyclicals,Cyclical Consumer Products,-0.000658116869564,0.009356360565075,0.0191791539436365,0.0115219164851305
Other,not_full,no,60102020,60101010,others,19,1,1,cross_border,business_sector,Real Estate,Real Estate,Real Estate,Real Estate,0.0133860640665037,0.0397287254353595,0.0030247269253832,-0.0045431133047797
Other,full,no,60101020,56102010,others,2,1,2,cross_border,not_related,Real Estate,Real Estate,Healthcare,Healthcare Services & Equipment,-0.0067193486671156,-0.0385954389962212,-0.0309234355796261,-0.0688640433948257
Other,full,no,52102010,53204030,others,19,1,2,cross_border,not_related,Industrials,Industrial Goods,Consumer Cyclicals,Cyclical Consumer Products,-0.0286642635406028,-0.0822943010398499,-0.0959621095841163,-0.0891040074972545
Cash,full,no,53101020,53101020,others,3,1,2,cross_border,industry,Consumer Cyclicals,Automobiles & Auto Parts,Consumer Cyclicals,Automobiles & Auto Parts,-0.0292230057672809,-0.0760417140872072,-0.088501040420661,-0.1143622478430972
Other,full,no,53403010,53403010,others,13,1,2,cross_border,industry,Consumer Cyclicals,Retailers,Consumer Cyclicals,Retailers,0.0033611529130087,0.0096753202957012,0.0096753202957012,0.0435182161492078
Other,full,no,53403010,53403010,others,14,1,2,cross_border,industry,Consumer Cyclicals,Retailers,Consumer Cyclicals,Retailers,0.0033611529130087,0.0096753202957012,0.0096753202957012,0.0435182161492078
Other,full,no,55102010,52203040,others,3,1,2,cross_border,not_related,Financials,Banking & Investment Services,Industrials,Industrial & Commercial Services,-0.0408207907160952,-0.0905590115853124,-0.0905590115853124,-0.1957929404955264
Other,full,no,52102020,52407030,others,4,1,2,national,economic_sector,Industrials,Industrial Goods,Industrials,Transportation,-0.0163470023459416,-0.0143411632176617,-0.0143411632176617,-0.036766761376008
Other,full,no,57104010,57106030,others,5,1,2,cross_border,business_sector,Technology,Technology Equipment,Technology,Technology Equipment,0.033690015704865,-0.0205288725121481,-0.0205288725121481,0.0370162976733663
Other,full,no,60102020,54301010,others,4,1,2,cross_border,not_related,Real Estate,Real Estate,Consumer Non-Cyclicals,Food & Drug Retailing,0.0027027908339124,0.0451834057508202,0.0451834057508202,-0.014350473068615
Cash,full,no,52405010,52203040,others,0,1,2,national,economic_sector,Industrials,Transportation,Industrials,Industrial & Commercial Services,-0.006660827146258,-0.004305718767711,-0.004305718767711,0.0018959220640754
Cash,full,no,52405010,52203040,others,1,1,2,national,economic_sector,Industrials,Transportation,Industrials,Industrial & Commercial Services,-0.006660827146258,-0.004305718767711,-0.004305718767711,0.0018959220640754
Other,full,no,51101020,51101020,others,26,1,2,cross_border,industry,Basic Materials,Chemicals,Basic Materials,Chemicals,0.0275043053224476,0.0659025897862497,0.0866441940668729,0.0676969408946261
Other,full,no,57201020,57201020,others,119,1,2,cross_border,industry,Technology,Software & IT Services,Technology,Software & IT Services,0.054066162475659,0.0899857378947196,0.0655368153481744,0.0217479217365884
Cash,not_full,no,54201020,54201020,public,6,1,2,cross_border,industry,Consumer Non-Cyclicals,Personal & Household Products & Services,Consumer Non-Cyclicals,Personal & Household Products & Services,-0.0434438291234289,-0.0577068224991237,-0.0105364379367952,-0.1244136328906803
Other,full,no,51101030,56201040,others,0,1,2,national,not_related,Basic Materials,Chemicals,Healthcare,Pharmaceuticals & Medical Research,-0.0877174966330052,0.0464125143203345,0.0107050189549008,-0.1193459501936401
Other,full,no,56102010,56102010,others,2,1,2,cross_border,industry,Healthcare,Healthcare Services & Equipment,Healthcare,Healthcare Services & Equipment,-0.0008342703088883,-0.022019728921651,-0.0178900504315285,-0.0173782328249049
Other,full,no,53203010,53203010,others,4,1,2,cross_border,industry,Consumer Cyclicals,Cyclical Consumer Products,Consumer Cyclicals,Cyclical Consumer Products,0.0102081956265486,0.0567137058187422,0.0492018573758809,0.0790134372511895
Cash,full,no,52102020,52102020,others,10,1,2,national,industry,Industrials,Industrial Goods,Industrials,Industrial Goods,-0.0003913986568712,0.0323127284275337,0.0125820853418956,-0.0260512692348564
Other,full,no,57105010,57106010,others,7,1,2,national,business_sector,Technology,Technology Equipment,Technology,Technology Equipment,0.0355433906442335,0.0535616639527639,0.1111426150469655,0.1263613365419716
Other,full,no,55301010,55301030,others,81,1,2,cross_border,industry_group,Financials,Insurance,Financials,Insurance,-0.0181257186177394,-0.0133532605945031,-0.0133532605945031,0.0451862496989154
Other,full,no,60102030,52201020,others,6,1,2,cross_border,not_related,Real Estate,Real Estate,Industrials,Industrial & Commercial Services,-0.030758451298161,-0.0119663956004204,-0.0119663956004204,-0.0257532774653576
Other,full,no,53203010,60101010,others,3,1,2,cross_border,not_related,Consumer Cyclicals,Cyclical Consumer Products,Real Estate,Real Estate,-0.0466851867664599,-0.0061594822288914,-0.0511103716776666,0.0226982661894552
Other,full,no,56101020,56101020,others,0,1,2,cross_border,industry,Healthcare,Healthcare Services & Equipment,Healthcare,Healthcare Services & Equipment,0.0218856037002521,0.0251872583595271,0.0173133044470407,-0.0538481876791966
Other,full,no,55301010,55301010,others,82,1,2,cross_border,industry,Financials,Insurance,Financials,Insurance,0.0798212326049144,0.0757445351241818,0.0865497150553605,0.0702807105233231
Other,full,no,52102010,52102030,others,62,1,2,cross_border,industry_group,Industrials,Industrial Goods,Industrials,Industrial Goods,0.0101136793698776,-0.0071562956523584,-0.0230544821329075,-0.0117614927914579
Cash,full,no,55102020,55301030,others,9,1,2,cross_border,economic_sector,Financials,Banking & Investment Services,Financials,Insurance,0.0046472724622328,-0.0054610151410526,0.0111691297266385,0.023140401168289
Other,full,no,52405030,52405010,others,14,1,2,cross_border,industry_group,Industrials,Transportation,Industrials,Transportation,0.0326848477713218,0.0425785594743303,-0.0103789598434725,0.048633346764326
Other,full,no,52405030,52405010,others,15,1,2,cross_border,industry_group,Industrials,Transportation,Industrials,Transportation,0.0326848477713218,0.0425785594743303,-0.0103789598434725,0.048633346764326
Other,full,no,52405030,54102010,others,16,1,2,cross_border,not_related,Industrials,Transportation,Consumer Non-Cyclicals,Food & Beverages,0.0326848477713218,0.0425785594743303,-0.0103789598434725,0.048633346764326
Other,full,no,53301020,53301020,others,6,1,2,cross_border,industry,Consumer Cyclicals,Cyclical Consumer Services,Consumer Cyclicals,Cyclical Consumer Services,-0.0060032139334458,-0.0301472873610384,-0.0333258619334064,-0.1774670660374618
Other,full,no,54102020,54102020,others,45,1,2,cross_border,industry,Consumer Non-Cyclicals,Food & Beverages,Consumer Non-Cyclicals,Food & Beverages,0.0276939146527387,0.0399598425079659,0.061484999196584,-0.0052934157399442
Other,full,no,52102030,52102030,others,0,1,2,cross_border,industry,Industrials,Industrial Goods,Industrials,Industrial Goods,-0.0065692088904293,-0.0049578728565748,-0.0049578728565748,-0.0067121123128468
Cash,full,no,52102030,52102020,others,1,1,2,national,industry_group,Industrials,Industrial Goods,Industrials,Industrial Goods,-0.0815944515625806,-0.0657563169844012,-0.0657563169844012,-0.0428721539644775
Other,full,no,57105010,55102050,others,20,1,2,national,not_related,Technology,Technology Equipment,Financials,Banking & Investment Services,-0.0060360102544877,-0.0105817979315057,-0.0111244802537304,-0.0120631977305554
Cash,full,no,52101010,52203040,others,15,1,2,cross_border,economic_sector,Industrials,Industrial Goods,Industrials,Industrial & Commercial Services,0.0002474746714917,0.0065367221113381,-0.0142673677164566,0.0214072884743069
Cash,full,no,52101010,57401010,others,22,1,2,cross_border,not_related,Industrials,Industrial Goods,Technology,Telecommunications Services,-0.0140269969579875,-0.0222991456801524,-0.0045804060068204,-0.0004995362490859
Other,full,no,52102010,52102010,others,63,1,2,national,industry,Industrials,Industrial Goods,Industrials,Industrial Goods,-0.0114836751597268,-0.0125229690569507,-0.0064939405703876,-0.0100078818580106
Other,full,no,56102010,56102010,others,4,1,2,cross_border,industry,Healthcare,Healthcare Services & Equipment,Healthcare,Healthcare Services & Equipment,-0.0306349553973053,-0.0392037908759301,-3.199213063087569e-05,-0.0795718948892366
Other,full,no,57105010,57201030,others,0,1,2,cross_border,economic_sector,Technology,Technology Equipment,Technology,Software & IT Services,-0.0893346399961049,-0.1259195472969199,-0.1591376999648412,-0.245745427324371
Other,full,no,55102020,57201020,others,8,1,2,cross_border,not_related,Financials,Banking & Investment Services,Technology,Software & IT Services,0.005606041301329,-0.0105474494090371,0.0006569537975334,0.0316491242358841
Cash,full,no,50102020,50102020,others,5,1,2,cross_border,industry,Energy,Energy - Fossil Fuels,Energy,Energy - Fossil Fuels,0.037688092733501,0.0858307933916698,0.0858307933916698,0.1383468647674424
Cash,full,no,56101020,57106010,others,7,1,2,cross_border,not_related,Healthcare,Healthcare Services & Equipment,Technology,Technology Equipment,-0.0113259621737047,-0.0151575886365759,-0.0151575886365759,-0.0310090680492266
Other,full,no,52102010,52102010,others,41,1,2,national,industry,Industrials,Industrial Goods,Industrials,Industrial Goods,0.0080427664564679,0.0136238525459333,0.0136238525459333,-0.0086638053872296
Other,not_full,yes,50102030,50102020,others,4,1,2,cross_border,industry_group,Energy,Energy - Fossil Fuels,Energy,Energy - Fossil Fuels,0.0362116231968014,0.0625115694107341,0.0353008675043396,0.1064028689545091
Other,full,no,55101010,55101010,public,2,1,2,cross_border,industry,Financials,Banking & Investment Services,Financials,Banking & Investment Services,-0.0123762907058725,-0.0063876460410237,-0.0065816385377703,-0.0066402258623008
Cash,not_full,no,53403040,53403040,public,2,1,2,cross_border,industry,Consumer Cyclicals,Retailers,Consumer Cyclicals,Retailers,-0.003062498839919,0.0024198787834335,0.0069926543453731,0.0715822235251825
Other,full,no,57101010,57101010,others,116,1,2,national,industry,Technology,Technology Equipment,Technology,Technology Equipment,-0.0085603645908064,0.0131889518520992,0.0337917402998503,0.0229064418164073
Cash,not_full,no,53403040,53403040,public,0,1,2,cross_border,industry,Consumer Cyclicals,Retailers,Consumer Cyclicals,Retailers,-0.0032417924175905,0.0097763423271218,-0.0024231593693914,0.0077046998433008
Other,full,no,55301030,56102010,others,22,1,2,cross_border,not_related,Financials,Insurance,Healthcare,Healthcare Services & Equipment,0.020853544015838,0.0222946358214425,0.0197532809619975,0.0102542332049435
Cash,full,no,54401010,57102010,others,28,1,2,cross_border,not_related,Consumer Non-Cyclicals,Consumer Goods Conglomerates,Technology,Technology Equipment,0.0391047547743347,0.0525222531410299,0.0304733439276142,0.0253843065477896
Cash,full,no,53302020,53302020,others,20,1,2,cross_border,industry,Consumer Cyclicals,Cyclical Consumer Services,Consumer Cyclicals,Cyclical Consumer Services,0.0229341853764009,0.044417973054078,-0.0095298583900265,-0.0499108771950882
Other,full,no,53302020,53302020,others,21,1,2,cross_border,industry,Consumer Cyclicals,Cyclical Consumer Services,Consumer Cyclicals,Cyclical Consumer Services,0.0229341853764009,0.044417973054078,-0.0095298583900265,-0.0499108771950882
Cash,not_full,yes,50103030,50102020,others,18,1,2,cross_border,business_sector,Energy,Energy - Fossil Fuels,Energy,Energy - Fossil Fuels,-0.0069848368410007,-0.0048099756198267,-0.0124992739375059,-0.0244709104176908
Cash,not_full,yes,50103030,50102020,others,19,1,2,cross_border,business_sector,Energy,Energy - Fossil Fuels,Energy,Energy - Fossil Fuels,-0.0069848368410007,-0.0048099756198267,-0.0124992739375059,-0.0244709104176908
Cash,not_full,no,55101010,55101010,public,0,1,2,cross_border,industry,Financials,Banking & Investment Services,Financials,Banking & Investment Services,-0.0054732007049747,0.0005285349300218,-0.0288687364240657,-0.0149437363848776
Other,full,no,56201040,56201040,others,5,1,2,cross_border,industry,Healthcare,Pharmaceuticals & Medical Research,Healthcare,Pharmaceuticals & Medical Research,0.1149636799181154,0.0773959318876056,0.2642985711137051,0.0104393358550339
Cash,full,no,60102030,60101010,others,16,1,2,cross_border,business_sector,Real Estate,Real Estate,Real Estate,Real Estate,0.0233423061749908,0.0180632297215218,0.0218211964795724,-0.0011086554817006
Cash,full,no,56101020,56101020,others,1,1,2,cross_border,industry,Healthcare,Healthcare Services & Equipment,Healthcare,Healthcare Services & Equipment,0.0853228666098163,0.1243122309776518,0.1376922742221278,0.2019487181442866
Cash,full,no,57201030,53402010,others,3,1,3,cross_border,not_related,Technology,Software & IT Services,Consumer Cyclicals,Retailers,-0.0512360772338741,-0.0616702390272613,-0.0524593752262233,-0.0672765089977296
Other,full,no,51202010,51202010,others,10,1,3,cross_border,industry,Basic Materials,Mineral Resources,Basic Materials,Mineral Resources,-0.0177858413964075,-0.0182246038275586,-0.0092924558744094,0.0200447608544783
Other,full,no,56102010,56102010,others,12,1,3,cross_border,industry,Healthcare,Healthcare Services & Equipment,Healthcare,Healthcare Services & Equipment,-0.0420506515986653,-0.0693517881279557,-0.0740388534501007,-0.1151402655409936
Other,full,no,59103010,59103010,others,0,1,3,cross_border,industry,Utilities,Utilities,Utilities,Utilities,0.0363683841207789,-0.0198914881028244,-0.0394008932216141,0.0129121631364745
Other,full,no,57201010,57201020,others,29,1,3,cross_border,industry_group,Technology,Software & IT Services,Technology,Software & IT Services,-0.024736713784076,-0.0185147391779787,-0.0308625934954118,-0.069670180315673
Other,full,no,52102050,53205020,others,24,1,3,cross_border,not_related,Industrials,Industrial Goods,Consumer Cyclicals,Cyclical Consumer Products,0.0032887376202024,0.0203357063172601,0.0101065415082125,-0.1147861529852626
Cash,full,no,52102010,52101010,others,26,1,3,national,business_sector,Industrials,Industrial Goods,Industrials,Industrial Goods,0.0381043771848582,0.0135600627092261,0.0333629869250918,-0.0097787105148656
Cash,full,no,56201040,56101020,public,37,1,3,cross_border,economic_sector,Healthcare,Pharmaceuticals & Medical Research,Healthcare,Healthcare Services & Equipment,0.0267265356386028,0.0218381077823462,0.0009081853701251,0.0244076628226629
Other,full,no,55101010,55101010,public,9,1,3,cross_border,industry,Financials,Banking & Investment Services,Financials,Banking & Investment Services,-0.0064116604029248,-0.0005749070012108,0.0092962510664816,0.0013528545582466
Other,full,no,57201020,57201020,others,120,1,3,cross_border,industry,Technology,Software & IT Services,Technology,Software & IT Services,-0.0266601051298603,-0.0176553988136982,-0.0114755875076918,0.0019128380984895
Other,full,no,60102020,52405030,others,0,1,3,cross_border,not_related,Real Estate,Real Estate,Industrials,Transportation,0.0184745331671356,0.0106150621258477,0.0407002605328,0.0591569868782958
Cash,full,no,50102020,50102020,others,2,1,3,cross_border,industry,Energy,Energy - Fossil Fuels,Energy,Energy - Fossil Fuels,-0.0103229283469441,0.0243734352589604,-0.0514210480810216,-0.0178239492597548
Other,full,no,55101010,55101010,others,1,1,3,cross_border,industry,Financials,Banking & Investment Services,Financials,Banking & Investment Services,-0.010837823176268,-0.0237715553429237,0.004672279523388,-0.0172593046072077
Other,full,no,52203040,57401020,others,3,1,3,national,not_related,Industrials,Industrial & Commercial Services,Technology,Telecommunications Services,0.0904504917941494,0.0805823306822862,0.0805823306822862,0.0825383176255803
Other,full,no,59103010,53203020,others,1,1,3,cross_border,not_related,Utilities,Utilities,Consumer Cyclicals,Cyclical Consumer Products,-0.0244460593693868,-0.0519827618029073,0.0084916286274264,0.0061528094766836
Other,full,no,57201030,52203040,public,4,1,3,cross_border,not_related,Technology,Software & IT Services,Industrials,Industrial & Commercial Services,-0.0027906061869839,-0.0420438343724222,-0.0263433114592918,0.0097502924304729
Other,full,no,51101010,57101010,public,11,1,3,cross_border,not_related,Basic Materials,Chemicals,Technology,Technology Equipment,0.0085941737741243,0.0088773742894785,0.0493211411621352,0.0603761153281965
Other,full,no,54102020,54102020,others,13,1,3,cross_border,industry,Consumer Non-Cyclicals,Food & Beverages,Consumer Non-Cyclicals,Food & Beverages,0.0016182087591372,0.0025348697054037,0.0243198849859772,0.0368473930780067
Cash,full,no,55101010,55102020,others,3,1,3,cross_border,business_sector,Financials,Banking & Investment Services,Financials,Banking & Investment Services,0.0062358824052219,0.0061352043134657,0.0449612009398554,0.0079107157846992
Cash,full,no,52201020,52102010,others,5,1,3,cross_border,economic_sector,Industrials,Industrial & Commercial Services,Industrials,Industrial Goods,0.0468087874984739,0.0332134354075479,-0.0136413703511,-0.0158408239605403
Other,full,no,57106010,57401010,others,14,1,3,cross_border,economic_sector,Technology,Technology Equipment,Technology,Telecommunications Services,-0.0025989473545424,-0.0123153107800745,0.0023996658366192,0.0969107206469318
Other,full,no,51201020,52102010,others,9,1,3,cross_border,not_related,Basic Materials,Mineral Resources,Industrials,Industrial Goods,0.0256059522016111,-0.0016701003507006,-0.0039859435915872,-0.0470294000757843
Other,full,no,55102010,50201010,others,26,1,3,cross_border,not_related,Financials,Banking & Investment Services,Energy,Renewable Energy,-0.0030892597407899,0.0009525239667989,0.012079072185632,0.0120716492735775
Other,full,no,52102030,53101020,others,29,1,3,national,not_related,Industrials,Industrial Goods,Consumer Cyclicals,Automobiles & Auto Parts,0.0246514698131533,0.016131659113633,0.0201445414556655,0.0120108196805344
