consideration_offered,shares_acquired,shares_at_announcement,acquiror_code,target_code,target_status,acquisition_count,bidder_count,month,cross_border,relatedness,economic_sector_ac,business_sector_ac,economic_sector_target,business_sector_target,car_1,car_3,car_5,car_10
Other,not_full,yes,51201020,51201020,public,1,1,2,cross_border,industry,Basic Materials,Mineral Resources,Basic Materials,Mineral Resources,0.0327116153085643,0.0377362466248744,-0.0485778949342594,-0.0142137635202348
Cash,full,no,55101010,55101010,others,22,1,2,cross_border,industry,Financials,Banking & Investment Services,Financials,Banking & Investment Services,0.0231079312410446,0.019962493962967,0.0176130070145479,0.0597387841939476
Other,full,no,54201010,53403090,others,71,1,2,cross_border,not_related,Consumer Non-Cyclicals,Personal & Household Products & Services,Consumer Cyclicals,Retailers,-0.0036389333747821,0.0010608906438932,0.0285947480933863,0.0338191489176702
Cash,full,no,60101010,60101010,others,11,1,2,national,industry,Real Estate,Real Estate,Real Estate,Real Estate,0.0015161764494324,0.004712598483906,-0.0001631051314199,0.0532583662066746
Other,full,no,55102020,60101010,others,165,1,2,national,not_related,Financials,Banking & Investment Services,Real Estate,Real Estate,0.015227874957313,-0.0239956509017811,-0.0082565610640685,0.0474777926913911
Other,full,no,57201010,57201020,others,38,1,2,cross_border,industry_group,Technology,Software & IT Services,Technology,Software & IT Services,-0.0039438327326983,0.0171278548046086,-0.010117057662646,0.0553993058751252
Cash,full,no,54102020,54102010,others,14,1,2,national,industry_group,Consumer Non-Cyclicals,Food & Beverages,Consumer Non-Cyclicals,Food & Beverages,0.0283154928268012,0.0449156509741972,0.00382260351313,-0.0075115829295958
Other,not_full,no,56201040,56201040,public,42,1,2,cross_border,industry,Healthcare,Pharmaceuticals & Medical Research,Healthcare,Pharmaceuticals & Medical Research,0.008797642494313,-0.0059914498444902,-0.0452307741216246,-0.0666801571462527
Other,full,no,57201020,57201010,others,2,1,2,cross_border,industry_group,Technology,Software & IT Services,Technology,Software & IT Services,-0.0236863593858365,-0.0299754980596076,-0.0370110204277396,-0.0138552878051053
Other,full,no,57201020,57201010,others,36,1,2,cross_border,industry_group,Technology,Software & IT Services,Technology,Software & IT Services,0.0050160874538687,0.0186887071441099,0.013394507296815,0.0044177072121019
Cash,full,no,50102020,50102020,others,1,1,2,cross_border,industry,Energy,Energy - Fossil Fuels,Energy,Energy - Fossil Fuels,-0.0494665126588355,-0.0352345027511241,-0.03550135596608,-0.0069838991135535
Other,full,no,57201030,57201020,others,36,1,2,cross_border,industry_group,Technology,Software & IT Services,Technology,Software & IT Services,-0.0194804886510584,-0.0146634722063468,-0.0393097557562237,-0.0517984149557783
Other,full,no,54201010,57401010,others,74,1,2,national,not_related,Consumer Non-Cyclicals,Personal & Household Products & Services,Technology,Telecommunications Services,0.009214096495118,0.0286954674712955,0.0504873021125235,0.0731058239307441
Other,full,no,59101010,59101010,others,11,1,2,cross_border,industry,Utilities,Utilities,Utilities,Utilities,0.0115926978390245,0.0210952859878562,0.0054380629210515,-0.019860144486922
